id_transaccion,id_titular,nombre_comercio,nombre_categoria,fecha,timestamp_transaccion,hora,dia_de_la_semana,es_madrugada,es_hora_pico,edad_del_titular,monto,es_fraude,latitud_comercio,longitud_comercio
17003d7ce534440eadb10c4750e020e5,213180742685905,fraud_romaguera ltd,health_fitness,2020-06-21,2020-06-21 12:15:44,12,1,False,True,69,133.93,0,41.499458000000004,-124.888729
def4f0ac7d3e4f02f33462a25632ef6c,675990301623,"fraud_armstrong, walter and gottlieb",food_dining,2020-06-21,2020-06-21 12:29:46,12,1,False,True,26,4.91,0,41.061214,-73.99798100000001
1023690403cb70fdd8df519f40fc9d54,4294040533480516,fraud_homenick llc,personal_care,2020-06-21,2020-06-21 12:43:07,12,1,False,True,34,16.8,0,33.647548,-80.75383000000001
bfcb7bca0abb957f3bb3aedf0c53a448,4587657402165341815,"fraud_prosacco, kreiger and kovacek",home,2020-06-21,2020-06-21 12:48:14,12,1,False,True,16,26.03,0,42.013548,-88.03902099999999
0658bba9f7eed658608e6f55db8e8842,5104807169438134,fraud_conroy ltd,shopping_pos,2020-06-21,2020-06-21 14:10:27,14,1,False,False,42,8.48,0,41.793532,-73.225285
a14f3e49a67b056ad6cca71aa13713ef,4451952084362894,fraud_kuphal-toy,food_dining,2020-06-21,2020-06-21 14:27:06,14,1,False,False,40,62.19,0,35.391806,-101.768692
550915f6467715839e3c06f2dd02ecba,6011679934075347,fraud_klein group,entertainment,2020-06-21,2020-06-21 14:27:13,14,1,False,False,46,32.51,0,40.653739,-106.907932
2f0c88053759a0e274a96c215a7d1d4b,3538520143479972,"fraud_roberts, ryan and smith",personal_care,2020-06-21,2020-06-21 14:27:52,14,1,False,False,55,44.34,0,41.769698,-83.65764899999999
3333ee10b2f8627d42f926e02cbaf3b4,344709867813900,fraud_williamson llc,misc_pos,2020-06-21,2020-06-21 14:33:16,14,1,False,False,34,41.07,0,26.685826000000002,-81.34649399999999
56faeaa96c6f8ffa0a131ee8774c9465,3540862542587229,fraud_grimes llc,entertainment,2020-06-21,2020-06-21 14:48:50,14,1,False,False,79,48.85,0,44.945198,-111.283947
26eba26e748d236f9ae9212d13a49432,2248735346244816,"fraud_gutmann, mclaughlin and wiza",home,2020-06-21,2020-06-21 15:05:12,15,1,False,False,58,13.36,0,38.770019,-99.82933
c303e5335f5079610ad5c67ae043882e,4890424426862856940,fraud_champlin-casper,home,2020-06-21,2020-06-21 15:23:33,15,1,False,False,41,109.88,0,37.933184999999995,-121.37761100000002
116301dce011c7a0190696720339620d,675990301623,fraud_hackett group,travel,2020-06-21,2020-06-21 15:31:52,15,1,False,False,26,6.22,0,41.041988,-73.652938
f5753503732a1516334b5b0f4c3d20f8,3551217896304745,fraud_schaefer ltd,kids_pets,2020-06-21,2020-06-21 15:55:07,15,1,False,False,44,81.72,0,44.046832,-74.91197199999999
82d1615b29e1f12c7b7191a6ee63fed0,370348764075623,"fraud_lubowitz, terry and stracke",personal_care,2020-06-21,2020-06-21 16:01:50,16,1,False,False,69,60.32,0,29.957697999999997,-89.910546
2dec414a7a9822a32045562fb9b5b561,6534628260579800,fraud_hackett group,travel,2020-06-21,2020-06-21 16:14:32,16,1,False,False,22,2.65,0,44.791363,-73.66597
8a9a59005460a3b43724d3c498ce0ecd,3597926034019603,fraud_johns-hoeger,entertainment,2020-06-21,2020-06-21 16:26:21,16,1,False,False,27,196.56,0,36.192759,-89.34359599999999
6fb47c8a5a1f00b6f2c2064c78fc7621,4989847570577635369,fraud_morissette-schaefer,personal_care,2020-06-21,2020-06-21 16:32:59,16,1,False,False,26,101.62,0,33.596283,-82.181998
d78666a13016007922404cce2a8a8083,3587044315915002,fraud_windler llc,kids_pets,2020-06-21,2020-06-21 16:50:55,16,1,False,False,46,49.5,0,35.158831,-89.387375
c8b1bd022b2bc452960f9ec6034674e8,3587960728692500,"fraud_dare, fritsch and zboncak",health_fitness,2020-06-21,2020-06-21 16:51:41,16,1,False,False,23,48.23,0,42.827125,-95.18319
